"PROVINCE_NAME","ROUTE_NAME",JDATETIME,GDATETIME,total
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-03 07:00:00","2023-08-25 07:00:00.0",924
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-03 08:00:00","2023-08-25 08:00:00.0",931
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-03 09:00:00","2023-08-25 09:00:00.0",892
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-03 10:00:00","2023-08-25 10:00:00.0",873
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-03 11:00:00","2023-08-25 11:00:00.0",838
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-03 12:00:00","2023-08-25 12:00:00.0",740
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-03 13:00:00","2023-08-25 13:00:00.0",606
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-03 14:00:00","2023-08-25 14:00:00.0",670
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-03 15:00:00","2023-08-25 15:00:00.0",907
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-03 16:00:00","2023-08-25 16:00:00.0",1042
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-03 17:00:00","2023-08-25 17:00:00.0",1294
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-03 18:00:00","2023-08-25 18:00:00.0",1450
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-03 19:00:00","2023-08-25 19:00:00.0",1361
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-03 20:00:00","2023-08-25 20:00:00.0",1139
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-03 21:00:00","2023-08-25 21:00:00.0",1400
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-03 22:00:00","2023-08-25 22:00:00.0",1703
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-03 23:00:00","2023-08-25 23:00:00.0",1436
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-04 00:00:00","2023-08-26 00:00:00.0",1604
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-04 01:00:00","2023-08-26 01:00:00.0",1075
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-04 02:00:00","2023-08-26 02:00:00.0",936
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-04 03:00:00","2023-08-26 03:00:00.0",990
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-04 04:00:00","2023-08-26 04:00:00.0",1046
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-04 05:00:00","2023-08-26 05:00:00.0",925
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-04 06:00:00","2023-08-26 06:00:00.0",1169
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-04 07:00:00","2023-08-26 07:00:00.0",1083
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-04 08:00:00","2023-08-26 08:00:00.0",879
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-04 09:00:00","2023-08-26 09:00:00.0",801
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-04 10:00:00","2023-08-26 10:00:00.0",713
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-04 11:00:00","2023-08-26 11:00:00.0",738
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-04 12:00:00","2023-08-26 12:00:00.0",626
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-04 13:00:00","2023-08-26 13:00:00.0",481
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-04 14:00:00","2023-08-26 14:00:00.0",566
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-04 15:00:00","2023-08-26 15:00:00.0",918
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-04 16:00:00","2023-08-26 16:00:00.0",936
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-04 17:00:00","2023-08-26 17:00:00.0",1014
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-04 18:00:00","2023-08-26 18:00:00.0",1347
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-04 19:00:00","2023-08-26 19:00:00.0",1242
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-04 20:00:00","2023-08-26 20:00:00.0",967
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-04 21:00:00","2023-08-26 21:00:00.0",954
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-04 22:00:00","2023-08-26 22:00:00.0",1200
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-04 23:00:00","2023-08-26 23:00:00.0",1220
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-05 00:00:00","2023-08-27 00:00:00.0",1172
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-05 01:00:00","2023-08-27 01:00:00.0",1048
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-05 02:00:00","2023-08-27 02:00:00.0",970
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-05 03:00:00","2023-08-27 03:00:00.0",934
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-05 04:00:00","2023-08-27 04:00:00.0",892
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-05 05:00:00","2023-08-27 05:00:00.0",821
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-05 06:00:00","2023-08-27 06:00:00.0",987
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-05 07:00:00","2023-08-27 07:00:00.0",1106
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-05 08:00:00","2023-08-27 08:00:00.0",947
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-05 09:00:00","2023-08-27 09:00:00.0",785
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-05 10:00:00","2023-08-27 10:00:00.0",766
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-05 11:00:00","2023-08-27 11:00:00.0",732
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-05 12:00:00","2023-08-27 12:00:00.0",587
